row_idx,col_idx,log2ratio
1,1,-0.0465166041018
1,2,nan
1,3,-1.39715943034
1,4,-0.578134936694
1,5,-0.0240889556956
2,1,-0.279099624611
2,2,nan
2,3,-0.835083797447
2,4,-0.738727974665
2,5,-0.794935537955
3,1,-0.395391134866
3,2,nan
3,3,-0.321186075941
3,4,-0.353304683535
3,5,0.0
4,1,-0.837298873833
4,2,nan
4,3,-0.337245379738
4,4,-1.31686291136
4,5,-0.722668670868
5,1,0.299773670878
5,2,-0.38123390753
5,3,-1.14288712022
5,4,0.0421556724673
5,5,-1.01173613921
6,1,0.324754810118
6,2,-0.38123390753
6,3,0.0749434177196
6,4,-0.843113449346
6,5,-0.337245379738
7,1,0.0
7,2,1.43695857454
7,3,0.0936792721495
7,4,1.22251450155
7,5,0.192711645565
8,1,0.199849113919
8,2,nan
8,3,0.655754905047
8,4,1.39113719142
8,5,-0.240889556956
9,1,-0.174867974679
9,2,-0.615839389087
9,3,-0.786905886056
9,4,-0.421556724673
9,5,-1.97529436704
10,1,0.474641645558
10,2,-0.0879770555839
10,3,0.824377594916
10,4,0.674490759477
10,5,0.674490759477
11,1,1.58905450114
11,2,0.340951372922
11,3,0.305126772144
11,4,-0.436435197308
11,5,1.39833450135
12,1,-0.422985730519
12,2,-0.266831509243
12,3,-0.722668670868
12,4,-0.158703708112
12,5,0.0493529824007
13,1,0.0571602338539
13,2,0.80049452773
13,3,0.867202405041
13,4,-0.238055562168
13,5,0.542882806408
14,1,-1.88628771718
14,2,nan
14,3,-0.0963558227824
14,4,0.476111124336
14,5,-2.18798221977
15,1,-1.06318034968
15,2,-0.548486991223
15,3,-0.851143101244
15,4,-0.357083343252
15,5,-1.33253052482
16,1,-1.24609309802
16,2,-0.770846582259
16,3,0.305126772144
16,4,-0.238055562168
16,5,-1.92476631363
17,1,-1.22322900447
17,2,-0.652254800373
17,3,-0.0321186075941
17,4,-1.30930559193
17,5,-0.0164509941336
18,1,-1.2918212851
18,2,-0.311303427451
18,3,0.529957025303
18,4,-0.753842613533
18,5,-1.89186432536
19,1,-2.2292491203
19,2,-0.726374664052
19,3,-0.562075632897
19,4,-3.68986121361
19,5,-0.806098712545
20,1,0.0114320467708
20,2,-1.15626987339
20,3,-0.754787278462
20,4,-1.11092595678
20,5,-1.29962853655
21,1,0.0114320467708
21,2,-1.8678205647
21,3,-0.433601202521
21,4,-0.595138905421
21,5,-1.06931461868
22,1,-0.217208888645
22,2,-1.15626987339
22,3,-0.754787278462
22,4,-1.03157410273
22,5,-2.4511981259
23,1,0.880267601351
23,2,-0.163063700093
23,3,0.947498924027
23,4,-0.39675927028
23,5,1.16802058348
24,1,1.20036491093
24,2,0.830142473202
24,3,0.0160593037971
24,4,0.158703708112
24,5,0.773196724278
25,1,0.494084797303
25,2,nan
25,3,nan
25,4,nan
25,5,nan
26,1,-0.988169594607
26,2,-0.996747455671
